Rodzaj_obiektu,Miesiac,Turyści_Ogółem,Turyści_Zagraniczni,Rok,Turyści_Krajowi
"Pozostałe niesklasyfikowane 
Other not classified",II,33224.0,4740.0,2023,28484.0
O G Ó Ł E M                       2022       ,III,2233197.0,456113.0,2023,1777084.0
T O T A L                            2023,III,2506116.0,505997.0,2023,2000119.0
"Obiekty hotelowe 
Hotels and similar establishments",III,2157480.0,463440.0,2023,1694040.0
"Hotele 
Hotels",III,1940172.0,430120.0,2023,1510052.0
"Motele  
Motels",III,15463.0,0.0,2023,15463.0
"Pensjonaty 
Boarding house",III,31996.0,0.0,2023,31996.0
"Inne obiekty hotelowe 
Other hotel establishments",III,169849.0,28166.0,2023,141683.0
"Pozostałe obiekty noclegowe
Other establishments ",III,348636.0,0.0,2023,348636.0
"Domy wycieczkowe 
Excursion hostels",III,2225.0,144.0,2023,2081.0
"Schroniska 
Shelters",III,10789.0,236.0,2023,10553.0
"Schroniska młodzieżowe 
Youth shelters",III,4000.0,889.0,2023,3111.0
"Szkolne schroniska młodzieżowe
School youth shelters",III,9562.0,0.0,2023,9562.0
"Ośrodki wczasowe 
Holiday centres",III,60550.0,4877.0,2023,55673.0
"Ośrodki kolonijne 
Holiday youth centres",III,996.0,9.0,2023,987.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",III,43692.0,2767.0,2023,40925.0
"Domy pracy twórczej 
Creative arts centres",III,1753.0,71.0,2023,1682.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",III,4431.0,0.0,2023,4431.0
"Kempingi 
Camping sites",III,813.0,251.0,2023,562.0
"Pola biwakowe  
Tent camp sites",III,531.0,0.0,2023,531.0
"Hostele 
Hostels",III,53931.0,16445.0,2023,37486.0
"Zakłady uzdrowiskowe 
Health establishments",III,68310.0,2632.0,2023,65678.0
"Pokoje gościnne 
Rooms for guests",III,46293.0,6773.0,2023,39520.0
"Kwatery agroturystyczne 
Agrotourism lodgings",III,4370.0,240.0,2023,4130.0
"Pozostałe niesklasyfikowane 
Other not classified",III,36390.0,5422.0,2023,30968.0
O G Ó Ł E M                       2022       ,IV,2378446.0,423582.0,2023,1954864.0
T O T A L                            2023,IV,2680332.0,566844.0,2023,2113488.0
"Obiekty hotelowe 
Hotels and similar establishments",IV,2253902.0,517826.0,2023,1736076.0
"Hotele 
Hotels",IV,1990429.0,474289.0,2023,1516140.0
"Motele  
Motels",IV,15370.0,0.0,2023,15370.0
"Pensjonaty 
Boarding house",IV,35948.0,0.0,2023,35948.0
"Inne obiekty hotelowe 
Other hotel establishments",IV,212155.0,37776.0,2023,174379.0
"Pozostałe obiekty noclegowe
Other establishments ",IV,426430.0,0.0,2023,426430.0
"Domy wycieczkowe 
Excursion hostels",IV,2512.0,161.0,2023,2351.0
"Schroniska 
Shelters",IV,12519.0,328.0,2023,12191.0
"Schroniska młodzieżowe 
Youth shelters",IV,4822.0,818.0,2023,4004.0
"Szkolne schroniska młodzieżowe
School youth shelters",IV,11753.0,0.0,2023,11753.0
"Ośrodki wczasowe 
Holiday centres",IV,101652.0,6558.0,2023,95094.0
"Ośrodki kolonijne 
Holiday youth centres",IV,1515.0,8.0,2023,1507.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",IV,52745.0,2634.0,2023,50111.0
"Domy pracy twórczej 
Creative arts centres",IV,2670.0,112.0,2023,2558.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",IV,9795.0,0.0,2023,9795.0
"Kempingi 
Camping sites",IV,3290.0,650.0,2023,2640.0
"Pola biwakowe  
Tent camp sites",IV,1351.0,0.0,2023,1351.0
"Hostele 
Hostels",IV,54327.0,18583.0,2023,35744.0
"Zakłady uzdrowiskowe 
Health establishments",IV,68196.0,3330.0,2023,64866.0
"Pokoje gościnne 
Rooms for guests",IV,50300.0,7643.0,2023,42657.0
"Kwatery agroturystyczne 
Agrotourism lodgings",IV,6477.0,515.0,2023,5962.0
"Pozostałe niesklasyfikowane 
Other not classified",IV,42506.0,5566.0,2023,36940.0
O G Ó Ł E M                       2022       ,V,2876125.0,460056.0,2023,2416069.0
T O T A L                            2023,V,3098519.0,602013.0,2023,2496506.0
"Obiekty hotelowe 
Hotels and similar establishments",V,2463434.0,546424.0,2023,1917010.0
"Hotele 
Hotels",V,2150870.0,498795.0,2023,1652075.0
"Motele  
Motels",V,19789.0,0.0,2023,19789.0
"Pensjonaty 
Boarding house",V,47207.0,0.0,2023,47207.0
"Inne obiekty hotelowe 
Other hotel establishments",V,245568.0,39740.0,2023,205828.0
"Pozostałe obiekty noclegowe
Other establishments ",V,635085.0,0.0,2023,635085.0
"Domy wycieczkowe 
Excursion hostels",V,5112.0,144.0,2023,4968.0
"Schroniska 
Shelters",V,17891.0,431.0,2023,17460.0
"Schroniska młodzieżowe 
Youth shelters",V,5935.0,835.0,2023,5100.0
"Szkolne schroniska młodzieżowe
School youth shelters",V,18431.0,0.0,2023,18431.0
